,Produit,Sous_Produit,Origine,PU_moy,PU_min,PU_max,PU_med
33520,4421999000,Autres ouvrages en bois (autres que bambou) du,Cote d'Ivoire,1765.73,83.74468085106383,10000.0,946.969696969697
33528,8509900000,Parties des appareils électromécaniques à mot,Autre pays,2647.06,2647.0588235294117,2647.0588235294117,2647.0588235294117
33529,1106201100,Farine et poudre de manioc,Cote d'Ivoire,69.91,5.0,1578.9473684210527,50.0
33530,804501000,Mangues fraîches ou sèches,Cote d'Ivoire,1270.16,30.0,5870.839759939985,1246.2960258152175
33533,8528729000,"Appareils récepteurs de télévision, … en",Autre pays,16240.99,200.80321285140562,93328.95348837209,6220.963137254902
33556,6405909000,"Autres chaussures importées, du n° 64.05, aut",Cote d'Ivoire,15175.05,6.247619047619048,228943.0,1180.5555555555557
33590,8516500000,ondesélectriques,Autre pays,7210.22,571.4285714285714,39521.5,2143.475661764706
33591,5203001000,Coton cardé,Cote d'Ivoire,1000.00,1000.0,1000.0,1000.0
33592,7013220000,"Verres à boire à pied, en cristal au plomb",Autre pays,1071.43,1071.4285714285713,1071.4285714285713,1071.4285714285713
33611,910110000,Gingimbre non broyé ni pulvérisé,Cote d'Ivoire,208.56,30.0,1641.7910447761194,100.0
33614,8450110000,"Machines à laver le linge, même avec disposit",Autre pays,12455.55,3500.0,24977.76082474227,8888.888888888889
33615,6302210000,"Linge de lit, de coton, imprimé",Cote d'Ivoire,553.03,500.0,606.060606060606,553.030303030303
33616,6302210000,"Linge de lit, de coton, imprimé",Autre pays,6461.50,1111.111111111111,27112.833333333332,4285.714285714285
33620,9202900000,Autres instruments de musique à cordes du n° 9,Autre pays,5357.40,2000.0,7631.578947368421,5899.014778325123
33621,4414000000,"Cadres en bois pour tableaux, photographies, miroi",Autre pays,6154.35,277.77777777777777,34513.43076923077,4075.781388888889
33651,1102901000,Farinede mil ou de sorgho,Cote d'Ivoire,523.42,59.09090909090909,9150.0,235.2941176470588
33673,3303002000,Parfums liquides ne contenant pas d'alcool,Cote d'Ivoire,4285.14,201.84615384615384,11112.084063047285,3694.098488783994
33676,8513100000,"Lampes électriques portatives,destinées à fon",Autre pays,4885.75,272.72727272727275,16000.0,4850.5
33678,3215901000,"Encres à écrire, même concentrées ou sous f",Royaume-Uni,77272.73,77272.72727272728,77272.72727272728,77272.72727272728
33679,6914100000,Autres ouvrages en porcelaine,Autre pays,4116.32,833.3333333333334,7894.736842105263,3620.882
33682,1401900000,Matières végétales des espèces principalemen,Cote d'Ivoire,530.25,100.0,3166.6666666666665,300.0
33690,3002300000,Vaccins pour la médecine vétérinaire,Cote d'Ivoire,9338.55,9338.554913294798,9338.554913294798,9338.554913294798
33691,1005100000,Maïs de semence,Mexique,3358.14,1967.870995484842,5538.791780821918,3777.6510791366904
33692,5801100000,Velours et peluche tissés et tissus de chenille,Autre pays,5121.40,2623.75,7619.047619047619,5121.398809523809
33693,2815200000,Hydroxyde de potassium (potasse caustique),Cote d'Ivoire,730.83,40.0,5625.0,183.33333333333334
33696,802700000,"Noix de cola (Cola spp.), fraîches ou sèches",Cote d'Ivoire,230.22,50.0,3177.28125,64.36233611442194
33745,4202999000,Autres contenants en cuir naturel ou reconstit,Cote d'Ivoire,5644.99,54.666666666666664,16775.285714285714,2916.6666666666665
